Date|Book|Security|Delta|TdyPnL|BODPnL|TdingPnL|DivPnL|LastPx|PrevCLS|Position|BODPos|Bought|BuyPx|Sold|SellPx|Multiplier|SecType|Curncy|YTDPnL|MTDPnL|WTDPnL
20190417|MSEUR|FESBM9|0|0|0|0|0|0|0|0|0|0|0|0|0|10|INDEX||0|0|0
20190417|MSEUR|VGM9|-115578.54|-542.304|-542.304|0|0|3410|3394|-3|-3|0|0|0|0|10|INDEX|EUR|-20594.063|-20594.063|-20594.063
20190417|MSEUR|WQM9|-344306.55|847.349999999992|847.349999999992|0|0|243.8|244.4|-25|-25|0|0|0|0|50|INDEX|EUR|7796.14499999994|7796.14499999994|7796.14499999994
20190417|MSEUR|Z M9|-1063392.44|143.44|143.44|0|0|7413.5|7414.5|-11|-11|0|0|0|0|10|INDEX|GBP|-15597.7540000001|-15597.7540000001|-15597.7540000001
20190417|MSSAR|EEM US|0|0|0|0|0|44.65|44.46|0|0|0|0|0|0|1|EQUITY|USD|-10699.0499999998|-10699.0499999998|-10699.0499999998
20190417|MSSAR|MSAU LN|10112550|34649.9999999998|34649.9999999998|0|0|24.0775|23.995|420000|420000|0|0|0|0|1|EQUITY|USD|549558.727537049|549558.727537049|549558.727537049
20190417|MSSAR|MSAU US|0|0|0|0|0|0|0|0|0|0|0|0|0|1|EQUITY|USD|0|0|0
20190417|MSSAR|VWO US|-440000|-1499.99999999999|-1499.99999999999|0|-0|44|43.85|-10000|-10000|0|0|0|0|1|EQUITY|USD|-18408.4999999999|-18408.4999999999|-18408.4999999999
20190417|MSSAR|ESM9|-1742550|4350|4350|0|0|2904.25|2911.5|-12|-12|0|0|0|0|50|INDEX|USD|30762.5|30762.5|30762.5
20190417|MSSAR|MESM9|-1925525|-9799.99999999984|-9799.99999999984|0|0|1100.3|1094.7|-35|-35|0|0|0|0|50|INDEX|USD|-113729.999999999|-113729.999999999|-113729.999999999
20190417|FTRUS|ACER US|45541.92|-3014.64|-3014.64|0|0|24.02|25.61|1896|1896|0|0|0|0|1|EQUITY|USD|-26155.12|-26155.12|-26155.12
20190417|FTRUS|ACRX US|46099.2|-137.200000000003|-137.200000000003|0|0|3.36|3.37|13720|13720|0|0|0|0|1|EQUITY|USD|-4486.96100000003|-4486.96100000003|-4486.96100000003
20190417|FTRUS|ADXS US|0|0|-0|0|0|3.2879|3.45|0|0|0|0|0|0|1|EQUITY|USD|-24474.5131|-24474.5131|-24474.5131
20190417|FTRUS|AFIN US|114784.4247|-4024.4853|-4024.4853|0|0|9.4777|9.81|12111|12111|0|0|0|0|1|EQUITY|USD|-47237.47763|-47237.47763|-47237.47763
20190417|FTRUS|AKTS US|37942.1|-679.560000000001|-679.560000000001|0|0|6.7|6.82|5663|5663|0|0|0|0|1|EQUITY|USD|-3652.77030000003|-3652.77030000003|-3652.77030000003
20190417|FTRUS|ALOT US|29328.225|40.2150000000002|40.2150000000002|0|0|25.525|25.49|1149|1149|0|0|0|0|1|EQUITY|USD|2889.6104|2889.6104|2889.6104
20190417|FTRUS|ALTM US|88139.955|-81.3849999999983|-81.3849999999983|0|0|5.415|5.42|16277|16277|0|0|0|0|1|EQUITY|USD|-7965.43999999996|-7965.43999999996|-7965.43999999996
20190417|FTRUS|AMSC US|38220.12|-790.080000000001|-790.080000000001|0|0|11.61|11.85|3292|3292|0|0|0|0|1|EQUITY|USD|-10502.5686|-10502.5686|-10502.5686
20190417|FTRUS|AMTB US|28395.9|157.95|157.95|0|0|16.18|16.09|1755|1755|0|0|0|0|1|EQUITY|USD|695.639999999998|695.639999999998|695.639999999998
20190417|FTRUS|APPN US|216733|-402.600000000015|-402.600000000015|0|0|32.3|32.36|6710|6710|0|0|0|0|1|EQUITY|USD|-16222.9410000001|-16222.9410000001|-16222.9410000001
20190417|FTRUS|APPS US|46881.17|-1074.64|-1074.64|0|0|3.49|3.57|13433|13433|0|0|0|0|1|EQUITY|USD|-12081.1151|-12081.1151|-12081.1151
20190417|FTRUS|APYX US|828.8|13.44|13.44|0|0|3.7|3.64|224|224|0|0|0|0|1|EQUITY|USD|-14810.7762|-14810.7762|-14810.7762
20190417|FTRUS|AQMS US|0|0|-0|0|0|2.68|2.79|0|0|0|0|0|0|1|EQUITY|USD|-187.241100000006|-187.241100000006|-187.241100000006
20190417|FTRUS|ARES US|228482.65|-2125.42000000002|-2125.42000000002|0|0|23.65|23.87|9661|9661|0|0|0|0|1|EQUITY|USD|-20872.4050000002|-20872.4050000002|-20872.4050000002
20190417|FTRUS|AVCO US|63420.2442|3419.7642|3419.7642|0|0|4.8199|4.56|13158|13158|0|0|0|0|1|EQUITY|USD|19955.1596|19955.1596|19955.1596
20190417|FTRUS|AVDR US|41165.075|-1608.425|-1608.425|0|0|11.645|12.1|3535|3535|0|0|0|0|1|EQUITY|USD|-13516.08|-13516.08|-13516.08
20190417|FTRUS|AVXL US|0|0|0|0|0|2.8561|2.84|0|0|0|0|0|0|1|EQUITY|USD|-3220.07940000001|-3220.07940000001|-3220.07940000001
20190417|FTRUS|AXSM US|71789.368|-1895.432|-1895.432|0|0|15.0818|15.48|4760|4760|0|0|0|0|1|EQUITY|USD|-10519|-10519|-10519
20190417|FTRUS|BAND US|231520.28|-2090.01999999997|-2090.01999999997|0|0|68.68|69.3|3371|3371|0|0|0|0|1|EQUITY|USD|-16260.3764999998|-16260.3764999998|-16260.3764999998
20190417|FTRUS|BDSI US|60000.48|-3815.82|-3815.82|0|0|4.56|4.85|13158|13158|0|0|0|0|1|EQUITY|USD|-41681.4144|-41681.4144|-41681.4144
20190417|FTRUS|BLFS US|59951.805|-4501.565|-4501.565|0|0|15.915|17.11|3767|3767|0|0|0|0|1|EQUITY|USD|-47371.32|-47371.32|-47371.32
20190417|FTRUS|BPI US|0|0|0|0|-0|0|0|0|0|0|0|0|0|1|EQUITY|USD|4181.59|4181.59|4181.59
20190417|FTRUS|BRID US|14117.76|-126.719999999999|-126.719999999999|0|0|24.51|24.73|576|576|0|0|0|0|1|EQUITY|USD|-796.044799999995|-796.044799999995|-796.044799999995
20190417|FTRUS|BTAI US|32266.56|-694.260000000003|-694.260000000003|0|0|9.76|9.97|3306|3306|0|0|0|0|1|EQUITY|USD|-7559.43620000002|-7559.43620000002|-7559.43620000002
20190417|FTRUS|CATS US|44722.1136|-3095.4864|-3095.4864|0|0|12.7196|13.6|3516|3516|0|0|0|0|1|EQUITY|USD|-32906.784|-32906.784|-32906.784
20190417|FTRUS|CBAN US|0|0|-0|0|0|16.75|17.12|0|0|0|0|0|0|1|EQUITY|USD|-78.9874|-78.9874|-78.9874
20190417|FTRUS|CERC US|40470.59|-715.589999999999|-715.589999999999|0|0|5.09|5.18|7951|7951|0|0|0|0|1|EQUITY|USD|-12471.895|-12471.895|-12471.895
20190417|FTRUS|CFMS US|33501.6|-124.079999999997|-124.079999999997|0|0|2.7|2.71|12408|12408|0|0|0|0|1|EQUITY|USD|-4988.28499999997|-4988.28499999997|-4988.28499999997
20190417|FTRUS|CHAP US|46690|2012.5|2012.5|0|0|5.8|5.55|8050|8050|0|0|0|0|1|EQUITY|USD|17884.14|17884.14|17884.14
20190417|FTRUS|CHMA US|33747.84|-468.72|-468.72|0|0|5.76|5.84|5859|5859|0|0|0|0|1|EQUITY|USD|194.214999999997|194.214999999997|194.214999999997
20190417|FTRUS|CLCT US|34913.1114|-367.788599999997|-367.788599999997|0|0|17.7134|17.9|1971|1971|0|0|0|0|1|EQUITY|USD|-3896.83599999998|-3896.83599999998|-3896.83599999998
20190417|FTRUS|CRK US|82504.68|-1729.14000000001|-1729.14000000001|0|0|6.68|6.82|12351|12351|0|0|0|0|1|EQUITY|USD|-18349.6896000001|-18349.6896000001|-18349.6896000001
20190417|FTRUS|CRMD US|42716.2|298.020000000002|298.020000000002|0|0|8.6|8.54|4967|4967|0|0|0|0|1|EQUITY|USD|-6074.72969999997|-6074.72969999997|-6074.72969999997
20190417|FTRUS|CTRC US|16248.945|-382.564999999999|-382.564999999999|0|0|4.035|4.13|4027|4027|0|0|0|0|1|EQUITY|USD|-4606.55589999999|-4606.55589999999|-4606.55589999999
20190417|FTRUS|CVRS US|82985.54|-397.060000000009|-397.060000000009|0|0|2.09|2.1|39706|39706|0|0|0|0|1|EQUITY|USD|7808.62999999991|7808.62999999991|7808.62999999991
20190417|FTRUS|CZWI US|0|0|0|0|0|12.23|12.23|0|0|0|0|0|0|1|EQUITY|USD|-3.40000000000008|-3.40000000000008|-3.40000000000008
20190417|FTRUS|DLA US|30510.384|29.1940000000027|29.1940000000027|0|0|22.992|22.97|1327|1327|0|0|0|0|1|EQUITY|USD|-1134.52499999997|-1134.52499999997|-1134.52499999997
20190417|FTRUS|DLPH US|432856.6|2159.29999999998|2159.29999999998|0|0|26.06|25.93|16610|16610|0|0|0|0|1|EQUITY|USD|82427.7049999999|82427.7049999999|82427.7049999999
20190417|FTRUS|DNBF US|20839.9|27.1000000000023|27.1000000000023|0|0|38.45|38.4|542|542|0|0|0|0|1|EQUITY|USD|-172.084999999976|-172.084999999976|-172.084999999976
20190417|FTRUS|DSPG US|71990.16|439.559999999999|439.559999999999|0|0|14.74|14.65|4884|4884|0|0|0|0|1|EQUITY|USD|2609.96999999998|2609.96999999998|2609.96999999998
20190417|FTRUS|EARN US|0|0|-0|0|0|11.73|11.74|0|0|0|0|0|0|1|EQUITY|USD|-223.595000000002|-223.595000000002|-223.595000000002
20190417|FTRUS|EGY US|0|0|0|0|0|2.5|2.46|0|0|0|0|0|0|1|EQUITY|USD|614.624400000011|614.624400000011|614.624400000011
20190417|FTRUS|EIGR US|43174.32|-2652.8|-2652.8|0|0|13.02|13.82|3316|3316|0|0|0|0|1|EQUITY|USD|-29980.6272|-29980.6272|-29980.6272
20190417|FTRUS|EKSO US|31391.9178|-2497.2422|-2497.2422|0|0|2.2602|2.44|13889|13889|0|0|0|0|1|EQUITY|USD|-25838.937|-25838.937|-25838.937
20190417|FTRUS|ETON US|2812.5|1.50000000000001|62.0000000000001|-60.5|0|7.5|7.42|375|775|0|0|400|7.34875|1|EQUITY|USD|-812.904999999998|-812.904999999998|-812.904999999998
20190417|FTRUS|EXPI US|50459.49|858.67|858.67|0|0|9.99|9.82|5051|5051|0|0|0|0|1|EQUITY|USD|7578.89500000001|7578.89500000001|7578.89500000001
20190417|FTRUS|EYPT US|29555.4|-1716.12|-1716.12|0|0|1.55|1.64|19068|19068|0|0|0|0|1|EQUITY|USD|-21242.78|-21242.78|-21242.78
20190417|FTRUS|FCAP US|9055.83|-103.53|-103.53|0|0|52.045|52.64|174|174|0|0|0|0|1|EQUITY|USD|-1037.89|-1037.89|-1037.89
20190417|FTRUS|FNCB US|33937.2|171.4|171.4|0|0|7.92|7.88|4285|4285|0|0|0|0|1|EQUITY|USD|1499.035|1499.035|1499.035
20190417|FTRUS|GALT US|37797.3044|-2807.7356|-2807.7356|0|0|4.0399|4.34|9356|9356|0|0|0|0|1|EQUITY|USD|-36290.602|-36290.602|-36290.602
20190417|FTRUS|GEOS US|35328.96|380.700000000001|380.700000000001|0|0|13.92|13.77|2538|2538|0|0|0|0|1|EQUITY|USD|6954.39180000001|6954.39180000001|6954.39180000001
20190417|FTRUS|GIFI US|0|0|-0|0|0|8.35|8.66|0|0|0|0|0|0|1|EQUITY|USD|-1337.54|-1337.54|-1337.54
20190417|FTRUS|GNE US|43484.76|521.399999999998|521.399999999998|0|0|8.34|8.24|5214|5214|0|0|0|0|1|EQUITY|USD|3500.26600000002|3500.26600000002|3500.26600000002
20190417|FTRUS|GSIT US|13385.05|258.85|258.85|0|0|8.015|7.86|1670|1670|0|0|0|0|1|EQUITY|USD|2497.83|2497.83|2497.83
20190417|FTRUS|GWGH US|21356.8|-263.200000000001|-263.200000000001|0|0|11.36|11.5|1880|1880|0|0|0|0|1|EQUITY|USD|-4440.13000000001|-4440.13000000001|-4440.13000000001
